Niveluri de educatie, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, TOTAL, Anul 1990, Numar persoane, 668446
Total, Total, TOTAL, Anul 1991, Numar persoane, 698009
Total, Total, TOTAL, Anul 1992, Numar persoane, 664406
Total, Total, TOTAL, Anul 1993, Numar persoane, 630583
Total, Total, TOTAL, Anul 1994, Numar persoane, 620841
Total, Total, TOTAL, Anul 1995, Numar persoane, 638558
Total, Total, TOTAL, Anul 1996, Numar persoane, 646165
Total, Total, TOTAL, Anul 1997, Numar persoane, 595611
Total, Total, TOTAL, Anul 1998, Numar persoane, 635361
Total, Total, TOTAL, Anul 1999, Numar persoane, 635189
Total, Total, TOTAL, Anul 2000, Numar persoane, 651169
Total, Total, TOTAL, Anul 2001, Numar persoane, 648389
Total, Total, TOTAL, Anul 2002, Numar persoane, 693168
Total, Total, TOTAL, Anul 2003, Numar persoane, 680079
Total, Total, TOTAL, Anul 2004, Numar persoane, 722635
Total, Total, TOTAL, Anul 2005, Numar persoane, 695427
Total, Total, TOTAL, Anul 2006, Numar persoane, 679071
Total, Total, TOTAL, Anul 2007, Numar persoane, 784958
Total, Total, TOTAL, Anul 2008, Numar persoane, 739432
Total, Total, TOTAL, Anul 2009, Numar persoane, 704172
Total, Total, TOTAL, Anul 2010, Numar persoane, 674713
Total, Total, TOTAL, Anul 2011, Numar persoane, 536747
Total, Total, TOTAL, Anul 2012, Numar persoane, 526316
Total, Total, TOTAL, Anul 2013, Numar persoane, 495128
Total, Total, TOTAL, Anul 2014, Numar persoane, 557418
Total, Total, TOTAL, Anul 2015, Numar persoane, 498889
Total, Total, TOTAL, Anul 2016, Numar persoane, 497632
Total, Total, TOTAL, Anul 2017, Numar persoane, 501802
Total, Total, TOTAL, Anul 2018, Numar persoane, 503086
Total, Total, TOTAL, Anul 2019, Numar persoane, 514930
Total, Total, TOTAL, Anul 2020, Numar persoane, 476557
Total, Total, TOTAL, Anul 2021, Numar persoane, 503495
