Date,Benzina,Motorina
2015-08-24,5.15,5.06
2015-08-25,5.17,5.08
2015-08-26,5.14,5.05
2015-08-27,5.11,5.03
2015-08-28,5.06,5.01
2015-08-29,5.04,4.99
2015-08-30,5.04,4.99
2015-08-31,5.1,5.05
2015-09-01,5.1,5.05
2015-09-02,5.13,5.08
2015-09-03,5.13,5.09
2015-09-04,5.13,5.09
2015-09-05,5.15,5.11
2015-09-06,5.15,5.11
2015-09-07,5.18,5.14
2015-09-08,5.18,5.14
2015-09-09,5.18,5.14
2015-09-10,5.2,5.16
2015-09-11,5.2,5.17
2015-09-12,5.19,5.16
2015-09-13,5.19,5.16
2015-09-14,5.2,5.17
2015-09-15,5.17,5.14
2015-09-16,5.13,5.11
2015-09-17,5.13,5.11
2015-09-18,5.13,5.11
2015-09-19,5.12,5.1
2015-09-20,5.12,5.1
2015-09-21,5.13,5.11
2015-09-22,5.13,5.11
2015-09-23,5.13,5.11
2015-09-24,5.13,5.11
2015-09-25,5.13,5.11
2015-09-26,5.1,5.1
2015-09-27,5.1,5.1
2015-09-28,5.11,5.11
2015-09-29,5.11,5.11
2015-09-30,5.1,5.11
2015-10-01,5.09,5.11
2015-10-02,5.1,5.11
2015-10-03,5.09,5.1
2015-10-04,5.09,5.1
2015-10-05,5.1,5.11
2015-10-06,5.07,5.07
2015-10-07,5.08,5.09
2015-10-08,5.09,5.11
2015-10-09,5.09,5.11
2015-10-10,5.08,5.1
2015-10-11,5.08,5.1
2015-10-12,5.09,5.11
2015-10-13,5.09,5.11
2015-10-14,5.09,5.11
2015-10-15,5.07,5.07
2015-10-16,5.04,5.04
2015-10-17,5.03,5.03
2015-10-18,5.03,5.03
2015-10-19,5.04,5.03
2015-10-20,5.04,5.03
2015-10-21,5.02,5.02
2015-10-22,5.01,5.01
2015-10-23,5.01,5.01
2015-10-26,5.01,5.01
2015-10-27,5.01,5.01
2015-10-28,5.01,5.01
2015-10-29,5.01,5.01
2015-10-30,5.04,5.04
2015-10-31,5.04,5.04
2015-11-01,5.05,5.04
2015-11-02,5.06,5.05
2015-11-03,5.06,5.05
2015-11-04,5.06,5.05
2015-11-05,5.1,5.09
2015-11-06,5.11,5.1
2015-11-07,5.1,5.1
2015-11-08,5.1,5.1
2015-11-09,5.11,5.1
2015-11-10,5.11,5.1
2015-11-11,5.11,5.1
2015-11-12,5.11,5.1
2015-11-13,5.11,5.1
2015-11-14,5.1,5.1
2015-11-15,5.1,5.1
2015-11-16,5.08,5.08
2015-11-17,5.08,5.07
2015-11-18,5.06,5.05
2015-11-19,5.08,5.07
2015-11-20,5.08,5.07
2015-11-21,5.07,5.07
2015-11-22,5.07,5.07
2015-11-23,5.08,5.07
2015-11-24,5.08,5.07
2015-11-25,5.1,5.1
2015-11-26,5.11,5.1
2015-11-27,5.11,5.1
2015-11-28,5.1,5.08
2015-11-29,5.1,5.08
2015-11-30,5.11,5.08
2015-12-01,5.11,5.08
2015-12-02,5.11,5.07
2015-12-03,5.11,5.07
2015-12-04,5.11,5.04
2015-12-05,5.09,5.02
2015-12-06,5.09,5.02
2015-12-07,5.11,5.02
2015-12-08,5.08,4.99
2015-12-09,5.04,4.95
2015-12-10,5.03,4.94
2015-12-11,5.03,4.9
2015-12-12,5.02,4.89
2015-12-13,5.01,4.88
2015-12-14,5.03,4.86
2015-12-15,5.03,4.8
2015-12-19,4.99,4.77
2015-12-20,4.99,4.77
2015-12-23,4.99,4.72
2015-12-24,4.99,4.72
2015-12-25,4.99,4.72
2015-12-26,4.98,4.71
2015-12-27,4.98,4.71
2015-12-28,4.99,4.72
2015-12-29,4.99,4.72
2015-12-30,4.99,4.72
2015-12-31,4.99,4.72
2016-01-01,4.85,4.56
2016-01-02,4.83,4.55
2016-01-03,4.83,4.55
2016-01-04,4.83,4.55
2016-01-05,4.82,4.54
2016-01-06,4.83,4.54
2016-01-07,4.82,4.54
2016-01-08,4.82,4.52
2016-01-09,4.82,4.52
2016-01-10,4.82,4.52
2016-01-11,4.82,4.51
2016-01-12,4.8,4.49
2016-01-13,4.8,4.47
2016-01-14,4.75,4.44
2016-01-15,4.73,4.42
