Data,Pretul Barilului de Petrol (RON)
2015-08-24,161
2015-08-25,161
2015-08-26,162
2015-08-27,175
2015-08-28,188
2015-09-01,192
2015-09-02,188
2015-09-03,199
2015-09-04,193
2015-09-07,184
2015-09-08,194
2015-09-09,190
2015-09-10,189
2015-09-11,184
2015-09-14,179
2015-09-15,179
2015-09-16,194
2015-09-17,189
2015-09-18,183
2015-09-21,187
2015-09-22,185
2015-09-23,191
2015-09-24,185
2015-09-25,187
2015-09-28,182
2015-09-29,187
2015-09-30,186
2015-10-01,188
2015-10-02,184
2015-10-05,194
2015-10-06,202
2015-10-07,203
2015-10-08,204
2015-10-09,203
2015-10-12,197
2015-10-13,190
2015-10-14,187
2015-10-15,185
2015-10-16,190
2015-10-19,185
2015-10-20,183
2015-10-21,182
2015-10-22,182
2015-10-23,184
2015-10-26,187
2015-10-27,183
2015-10-28,191
2015-10-29,194
2015-10-30,193
2015-11-02,193
2015-11-03,194
2015-11-04,191
2015-11-05,193
2015-11-06,189
2015-11-09,188
2015-11-10,193
2015-11-11,186
2015-11-12,186
2015-11-13,173
2015-11-16,167
2015-11-17,172
2015-11-18,173
2015-11-19,175
2015-11-20,176
2015-11-23,183
2015-11-24,193
2015-11-25,194
2015-11-26,193
2015-11-26,193
2015-11-27,194
2015-11-28,191
2015-11-29,191
2015-11-30,191
2015-12-01,188
2015-12-02,188
2015-12-03,187
2015-12-04,176
2015-12-05,181
2015-12-06,181
2015-12-07,182
2015-12-08,179
2015-12-09,168
2015-12-10,167
2015-12-11,167
2015-12-12,163
2015-12-13,163
2015-12-14,163
2015-12-15,155
2015-12-16,156
2015-12-17,158
2015-12-18,157
2015-12-19,157
2015-12-20,154
2015-12-21,153
2015-12-22,151
2015-12-23,150
2015-12-24,150
2015-12-25,156
2015-12-26,156
2015-12-27,156
2015-12-28,156
2015-12-29,157
2015-12-30,152
2015-12-31,155
2016-01-01,152
2016-01-02,152
2016-01-03,152
2016-01-04,151
2016-01-05,159
2016-01-06,157
2016-01-07,153
2016-01-08,144
2016-01-09,144
2016-01-10,142
2016-01-11,141
2016-01-12,139
2016-01-13,132
2016-01-14,128
2016-01-15,126
2016-01-16,126
2016-01-17,126
2016-01-18,129
2016-01-19,120
2016-01-20,119
2016-01-21,119
2016-01-22,117
2016-01-23,124
