Ani,Valoare
1990,38247882300.4904
1991,28850634899.856
1992,25121666666.6667
1993,26361160449.9704
1994,30072805104.2542
1995,37430162102.6125
1996,36937074278.3004
1997,35575214078.2428
1998,41696091973.7076
1999,35953156753.739
2000,37253739511.1273
2001,40395116581.4832
2002,46065502702.5817
2003,57806384143.166
2004,74973656851.8076
2005,98454380120.0761
2006,122023735992.706
2007,174588782938.583
2008,214317202478.266
2009,174102268534.84
2010,170029359010.667
2011,192613579705.885
2012,179132893143.417
2013,189789258566.244
2014,199713780259.318
2015,177883883008.747
2016,185287630540.431
2017,210147163769.848
2018,243316029944.056
2019,251017797625.017
2020,251362514349.697
2021,285810244501.933
